,wall_time,step,value,log_dir,tag,dataset,resolution,model_step,sampler,inference_time,vae,fad_model,reference_dataset
61,1716267753.5121093,0,168.3959197998047,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_encodec-emb-48k_ref_fma_pop_gen_None,ssd,"64,64",40000,ddpm,1.162,False,encodec-emb-48k,fma_pop
62,1716267756.0911813,0,522.50732421875,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_encodec-emb_ref_fma_pop_gen_None,ssd,"64,64",40000,ddpm,1.162,False,encodec-emb,fma_pop
63,1716267759.7243989,0,51.81114959716797,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_MERT-v1-95M_ref_fma_pop_gen_None,ssd,"64,64",40000,ddpm,1.162,False,MERT-v1-95M,fma_pop
64,1716267762.588042,0,0.9400225877761841,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_clap-laion-audio_ref_musiccaps_gen_None,ssd,"64,64",40000,ddpm,1.162,False,clap-laion-audio,musiccaps
65,1716267765.3878078,0,1.0308947563171387,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_clap-laion-music_ref_musiccaps_gen_None,ssd,"64,64",40000,ddpm,1.162,False,clap-laion-music,musiccaps
66,1716267788.1172903,0,130.5143585205078,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_encodec-emb-48k_ref_musiccaps_gen_None,ssd,"64,64",40000,ddpm,1.162,False,encodec-emb-48k,musiccaps
67,1716267790.49671,0,408.2763366699219,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_encodec-emb_ref_musiccaps_gen_None,ssd,"64,64",40000,ddpm,1.162,False,encodec-emb,musiccaps
68,1716267793.7161582,0,47.47027587890625,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_MERT-v1-95M_ref_musiccaps_gen_None,ssd,"64,64",40000,ddpm,1.162,False,MERT-v1-95M,musiccaps
69,1716267525.895689,0,1.0179181098937988,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_clap-laion-audio_ref_spotify_sleep_dataset_gen_None,ssd,"64,64",40000,ddim,0.0743,False,clap-laion-audio,spotify_sleep_dataset
70,1716267584.2219977,0,0.8955639004707336,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_clap-laion-music_ref_spotify_sleep_dataset_gen_None,ssd,"64,64",40000,ddim,0.0743,False,clap-laion-music,spotify_sleep_dataset
