,wall_time,step,value,dataset,resolution,model_step,sampler,fad_model,reference_dataset
154,1716266853.8525476,0,1.2214467525482178,ds,"64,64",1000,ddim,clap-laion-audio,fma_pop
155,1716266856.632262,0,1.1509077548980713,ds,"64,64",1000,ddim,clap-laion-music,fma_pop
156,1716266876.8320878,0,100.37211608886719,ds,"64,64",1000,ddim,encodec-emb-48k,fma_pop
157,1716266879.2203476,0,689.8034057617188,ds,"64,64",1000,ddim,encodec-emb,fma_pop
158,1716266882.4348776,0,50.7120246887207,ds,"64,64",1000,ddim,MERT-v1-95M,fma_pop
159,1716266885.1139202,0,1.1747385263442993,ds,"64,64",1000,ddim,clap-laion-audio,musiccaps
160,1716266887.8197927,0,1.1075941324234009,ds,"64,64",1000,ddim,clap-laion-music,musiccaps
161,1716266907.9866276,0,70.49447631835938,ds,"64,64",1000,ddim,encodec-emb-48k,musiccaps
162,1716266910.3021867,0,538.599853515625,ds,"64,64",1000,ddim,encodec-emb,musiccaps
163,1716266913.4250188,0,42.77412796020508,ds,"64,64",1000,ddim,MERT-v1-95M,musiccaps
164,1716266789.2477958,0,0.3177880346775055,ds,"64,64",1000,ddpm,clap-laion-audio,drum_samples
165,1716266799.5678124,0,0.35641154646873474,ds,"64,64",1000,ddpm,clap-laion-music,drum_samples
166,1716266831.3337088,0,12.394969940185547,ds,"64,64",1000,ddpm,encodec-emb-48k,drum_samples
167,1716266840.20413,0,56.4047737121582,ds,"64,64",1000,ddpm,encodec-emb,drum_samples
168,1716266854.8266613,0,41.26161575317383,ds,"64,64",1000,ddpm,MERT-v1-95M,drum_samples
169,1716266857.855984,0,1.1801111698150635,ds,"64,64",1000,ddpm,clap-laion-audio,fma_pop
170,1716266860.7606015,0,1.138030767440796,ds,"64,64",1000,ddpm,clap-laion-music,fma_pop
171,1716266887.1727657,0,98.43177032470703,ds,"64,64",1000,ddpm,encodec-emb-48k,fma_pop
172,1716266889.727326,0,679.1205444335938,ds,"64,64",1000,ddpm,encodec-emb,fma_pop
173,1716266893.189958,0,50.6196174621582,ds,"64,64",1000,ddpm,MERT-v1-95M,fma_pop
174,1716266896.0381494,0,1.132584810256958,ds,"64,64",1000,ddpm,clap-laion-audio,musiccaps
175,1716266898.803968,0,1.0908212661743164,ds,"64,64",1000,ddpm,clap-laion-music,musiccaps
176,1716266923.3367155,0,68.7617416381836,ds,"64,64",1000,ddpm,encodec-emb-48k,musiccaps
177,1716266925.8725545,0,528.7578125,ds,"64,64",1000,ddpm,encodec-emb,musiccaps
178,1716266929.2396762,0,42.53913497924805,ds,"64,64",1000,ddpm,MERT-v1-95M,musiccaps
179,1716266788.0347617,0,0.2274031639099121,ds,"64,64",20000,ddpm,clap-laion-audio,drum_samples
180,1716266798.3768902,0,0.2722647190093994,ds,"64,64",20000,ddpm,clap-laion-music,drum_samples
181,1716266828.5260937,0,11.431522369384766,ds,"64,64",20000,ddpm,encodec-emb-48k,drum_samples
182,1716266837.818353,0,45.19578552246094,ds,"64,64",20000,ddpm,encodec-emb,drum_samples
183,1716266853.296364,0,25.356525421142578,ds,"64,64",20000,ddpm,MERT-v1-95M,drum_samples
184,1716266856.1419218,0,1.1679871082305908,ds,"64,64",20000,ddpm,clap-laion-audio,fma_pop
185,1716266858.903917,0,1.1261672973632812,ds,"64,64",20000,ddpm,clap-laion-music,fma_pop
186,1716266880.7776918,0,116.8013916015625,ds,"64,64",20000,ddpm,encodec-emb-48k,fma_pop
