,wall_time,step,value,dataset,resolution,model_step,sampler,vae,num_fad_samples,fad_model,reference_dataset
137,1716685157.7116582,0,5.783897399902344,ssd,256,40000,ddim,,819,vggish,spotify_sleep_dataset
138,1716685160.7148278,0,0.7686694860458374,ssd,256,40000,ddim,,819,clap-laion-audio,fma_pop
139,1716685164.0412917,0,0.8473323583602905,ssd,256,40000,ddim,,819,clap-laion-music,fma_pop
140,1716685168.2497897,0,11.316654205322266,ssd,256,40000,ddim,,819,vggish,fma_pop
141,1716685172.1568873,0,0.7383343577384949,ssd,256,40000,ddim,,819,clap-laion-audio,musiccaps
142,1716685175.7361193,0,0.8453343510627747,ssd,256,40000,ddim,,819,clap-laion-music,musiccaps
143,1716685178.9791195,0,15.2623872756958,ssd,256,40000,ddim,,819,vggish,musiccaps
144,1716683908.4104786,0,0.6253156661987305,ssd,256,40000,ddim,,102,clap-laion-audio,spotify_sleep_dataset
145,1716684135.5029714,0,0.6115028858184814,ssd,256,40000,ddim,,102,clap-laion-music,spotify_sleep_dataset
146,1716684331.7731154,0,5.370146751403809,ssd,256,40000,ddim,,102,vggish,spotify_sleep_dataset
147,1716684397.437518,0,0.7635019421577454,ssd,256,40000,ddim,,102,clap-laion-audio,fma_pop
148,1716684500.48586,0,0.8552134037017822,ssd,256,40000,ddim,,102,clap-laion-music,fma_pop
149,1716684646.2680671,0,10.656980514526367,ssd,256,40000,ddim,,102,vggish,fma_pop
150,1716684731.6494346,0,0.7371907830238342,ssd,256,40000,ddim,,102,clap-laion-audio,musiccaps
151,1716684806.4858756,0,0.8474039435386658,ssd,256,40000,ddim,,102,clap-laion-music,musiccaps
152,1716684881.143233,0,14.83006763458252,ssd,256,40000,ddim,,102,vggish,musiccaps
153,1716685027.5516088,0,0.6266453862190247,ssd,256,40000,ddim,,614,clap-laion-audio,spotify_sleep_dataset
154,1716685101.3754916,0,0.6120963096618652,ssd,256,40000,ddim,,614,clap-laion-music,spotify_sleep_dataset
