,Unnamed: 0,file_path,noise_level,bin,type
146,491,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_271.wav,-64.45935,0,ddpm
147,298,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_583.wav,-64.45114,0,ddpm
148,538,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_786.wav,-64.43891,0,ddpm
149,1748,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_133.wav,-64.40455,0,ddim
150,647,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_796.wav,-64.377304,0,ddpm
151,1485,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_561.wav,-64.36464,0,ddim
152,1144,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_890.wav,-64.33365,0,ddim
153,411,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_483.wav,-64.30543,0,ddpm
154,140,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_381.wav,-64.275024,0,ddpm
155,1710,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_311.wav,-64.26555,0,ddim
156,1143,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_345.wav,-64.23484,0,ddim
157,1089,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_773.wav,-64.2271,0,ddim
158,1583,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_259.wav,-64.22337,0,ddim
159,56,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_109.wav,-64.20176,0,ddpm
160,1803,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_895.wav,-64.15334,0,ddim
161,463,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_598.wav,-64.09851,0,ddpm
162,909,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_601.wav,-64.08191,0,ddim
163,1675,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_938.wav,-64.05589,0,ddim
164,1264,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_707.wav,-64.00645,0,ddim
165,84,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_399.wav,-63.983913,0,ddpm
166,580,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_376.wav,-63.982864,0,ddpm
167,1340,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_169.wav,-63.929413,0,ddim
168,1498,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_493.wav,-63.923595,0,ddim
169,771,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_144.wav,-63.91359,0,ddpm
170,853,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_719.wav,-63.894142,0,ddim
171,1021,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_507.wav,-63.879852,0,ddim
172,576,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_194.wav,-63.853477,0,ddpm
173,975,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_327.wav,-63.847466,0,ddim
174,393,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_793.wav,-63.81991,0,ddpm
175,1229,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_465.wav,-63.779423,0,ddim
176,265,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_287.wav,-63.76581,0,ddpm
177,1846,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_332.wav,-63.697216,0,ddim
178,682,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_599.wav,-63.67333,0,ddpm
179,1246,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_368.wav,-63.66856,0,ddim
180,308,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_235.wav,-63.646473,0,ddpm
181,764,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_285.wav,-63.63452,0,ddpm
182,1281,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_294.wav,-63.631847,0,ddim
183,496,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_114.wav,-63.62742,0,ddpm
184,1526,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_845.wav,-63.600822,0,ddim
185,1380,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_866.wav,-63.592045,0,ddim
186,663,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_798.wav,-63.55988,1,ddpm
187,669,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_459.wav,-63.541573,1,ddpm
188,596,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_142.wav,-63.376747,1,ddpm
189,72,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_40.wav,-63.372925,1,ddpm
190,1421,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_1022.wav,-63.36338,1,ddim
191,1466,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_826.wav,-63.353348,1,ddim
192,273,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_527.wav,-63.317844,1,ddpm
193,408,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_25.wav,-63.31539,1,ddpm
194,548,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_432.wav,-63.29612,1,ddpm
195,1612,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_666.wav,-63.276012,1,ddim
196,1751,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_583.wav,-63.248817,1,ddim
197,894,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_255.wav,-63.240044,1,ddim
198,1842,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_782.wav,-63.22892,1,ddim
199,1352,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_813.wav,-63.202713,1,ddim
200,1014,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_734.wav,-63.197727,1,ddim
201,843,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_475.wav,-63.180706,1,ddim
202,626,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_618.wav,-63.14704,1,ddpm
203,280,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_403.wav,-63.09936,1,ddpm
204,1765,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_60.wav,-63.05627,1,ddim
205,850,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_989.wav,-63.039864,1,ddim
206,351,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_62.wav,-63.03842,1,ddpm
207,920,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_170.wav,-62.98296,1,ddim
208,955,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_786.wav,-62.937202,1,ddim
209,1645,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_613.wav,-62.934498,1,ddim
210,1226,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_933.wav,-62.89884,1,ddim
211,159,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_180.wav,-62.89567,1,ddpm
212,1192,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_305.wav,-62.895435,1,ddim
213,714,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_772.wav,-62.888424,1,ddpm
214,103,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_660.wav,-62.874638,1,ddpm
215,1279,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_941.wav,-62.850304,1,ddim
216,1542,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_196.wav,-62.83882,1,ddim
